
Report for ../Lab1Assigment1/knapsack-200.txt

Checking for geometric cooling different values
iterations=200, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=229200 => result=133943
iterations=200, T_max=10000, T_min=1, alpha=0.9, neighbours checked=17600 => result=133202
iterations=200, T_max=10000, T_min=1, alpha=0.95, neighbours checked=36000 => result=133848
iterations=200, T_max=10000, T_min=1, alpha=0.99, neighbours checked=183400 => result=133939
iterations=200, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=22000 => result=133321
iterations=200, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=45000 => result=134037
iterations=200, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=229200 => result=133665
iterations=200, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=26400 => result=133292
iterations=200, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=54000 => result=133506
iterations=200, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=275000 => result=133447
iterations=300, T_max=100, T_min=1, alpha=0.9, neighbours checked=13200 => result=131626
iterations=300, T_max=100, T_min=1, alpha=0.95, neighbours checked=27000 => result=131948
iterations=300, T_max=100, T_min=1, alpha=0.99, neighbours checked=137700 => result=132844
iterations=300, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=19800 => result=131634
iterations=300, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=40500 => result=131127
iterations=300, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=206400 => result=132725
iterations=300, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=26400 => result=131632
iterations=300, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=54000 => result=132448
iterations=300, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=275100 => result=131135
iterations=300, T_max=1000, T_min=1, alpha=0.9, neighbours checked=19800 => result=133030
iterations=300, T_max=1000, T_min=1, alpha=0.95, neighbours checked=40500 => result=133126
iterations=300, T_max=1000, T_min=1, alpha=0.99, neighbours checked=206400 => result=134343
iterations=300, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=26400 => result=134148
iterations=300, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=54000 => result=133297
iterations=300, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=275100 => result=133822
iterations=300, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=33000 => result=133590
iterations=300, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=67500 => result=134046
iterations=300, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=343800 => result=133727
iterations=300, T_max=10000, T_min=1, alpha=0.9, neighbours checked=26400 => result=133141
iterations=300, T_max=10000, T_min=1, alpha=0.95, neighbours checked=54000 => result=133770
iterations=300, T_max=10000, T_min=1, alpha=0.99, neighbours checked=275100 => result=133802
iterations=300, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=33000 => result=132877
iterations=300, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=67500 => result=133721
iterations=300, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=343800 => result=134836
iterations=300, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=39600 => result=133230
iterations=300, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=81000 => result=133084
iterations=300, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=412500 => result=133807

Report for ../Lab1Assigment1/knapsack-200.txt

Checking for linear cooling different values
iterations=50, T_max=100, T_min=1, alpha=0.9, neighbours checked=250 => result=131832
iterations=50, T_max=100, T_min=1, alpha=0.95, neighbours checked=250 => result=132833
iterations=50, T_max=100, T_min=1, alpha=0.99, neighbours checked=250 => result=132142
iterations=50, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=350 => result=132865
iterations=50, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=350 => result=131810
iterations=50, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=350 => result=132738
iterations=50, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=400 => result=131400
iterations=50, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=400 => result=131991
iterations=50, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=400 => result=132541
iterations=50, T_max=1000, T_min=1, alpha=0.9, neighbours checked=350 => result=132001
iterations=50, T_max=1000, T_min=1, alpha=0.95, neighbours checked=350 => result=132201
iterations=50, T_max=1000, T_min=1, alpha=0.99, neighbours checked=350 => result=132501
iterations=50, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=400 => result=131892
iterations=50, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=400 => result=131723
iterations=50, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=400 => result=132236
iterations=50, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=450 => result=132122
iterations=50, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=450 => result=131420
iterations=50, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=450 => result=132272
iterations=50, T_max=10000, T_min=1, alpha=0.9, neighbours checked=400 => result=132627
iterations=50, T_max=10000, T_min=1, alpha=0.95, neighbours checked=400 => result=132549
iterations=50, T_max=10000, T_min=1, alpha=0.99, neighbours checked=400 => result=131493
iterations=50, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=450 => result=131226
