
Report for ../Lab1Assigment1/knapsack-20.txt

Checking for logarithmic cooling different values
iterations=10, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=170 => result=621
iterations=10, T_max=10000, T_min=0.1, alpha=0.999, neighbours checked=170 => result=584
iterations=10, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=190 => result=549
iterations=10, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=190 => result=639
iterations=10, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=190 => result=598
iterations=10, T_max=10000, T_min=0.01, alpha=0.999, neighbours checked=190 => result=592
iterations=10, T_max=10000, T_min=0.001, alpha=0.9, neighbours checked=210 => result=559
iterations=10, T_max=10000, T_min=0.001, alpha=0.95, neighbours checked=210 => result=628
iterations=10, T_max=10000, T_min=0.001, alpha=0.99, neighbours checked=210 => result=681
iterations=10, T_max=10000, T_min=0.001, alpha=0.999, neighbours checked=210 => result=528
iterations=10, T_max=100000, T_min=0.1, alpha=0.9, neighbours checked=190 => result=603
iterations=10, T_max=100000, T_min=0.1, alpha=0.95, neighbours checked=190 => result=675
iterations=10, T_max=100000, T_min=0.1, alpha=0.99, neighbours checked=190 => result=598
iterations=10, T_max=100000, T_min=0.1, alpha=0.999, neighbours checked=190 => result=608
iterations=10, T_max=100000, T_min=0.01, alpha=0.9, neighbours checked=210 => result=658
iterations=10, T_max=100000, T_min=0.01, alpha=0.95, neighbours checked=210 => result=618
iterations=10, T_max=100000, T_min=0.01, alpha=0.99, neighbours checked=210 => result=582
iterations=10, T_max=100000, T_min=0.01, alpha=0.999, neighbours checked=210 => result=674
iterations=10, T_max=100000, T_min=0.001, alpha=0.9, neighbours checked=230 => result=575
iterations=10, T_max=100000, T_min=0.001, alpha=0.95, neighbours checked=230 => result=619
iterations=10, T_max=100000, T_min=0.001, alpha=0.99, neighbours checked=230 => result=620
iterations=10, T_max=100000, T_min=0.001, alpha=0.999, neighbours checked=230 => result=533
iterations=20, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=260 => result=716
iterations=20, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=260 => result=582
iterations=20, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=260 => result=671
iterations=20, T_max=100, T_min=0.1, alpha=0.999, neighbours checked=260 => result=641
iterations=20, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=300 => result=666
iterations=20, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=300 => result=652
iterations=20, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=300 => result=674
iterations=20, T_max=100, T_min=0.01, alpha=0.999, neighbours checked=300 => result=660
iterations=20, T_max=100, T_min=0.001, alpha=0.9, neighbours checked=340 => result=675
iterations=20, T_max=100, T_min=0.001, alpha=0.95, neighbours checked=340 => result=718
iterations=20, T_max=100, T_min=0.001, alpha=0.99, neighbours checked=340 => result=609
iterations=20, T_max=100, T_min=0.001, alpha=0.999, neighbours checked=340 => result=671
iterations=20, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=300 => result=554
iterations=20, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=300 => result=643
iterations=20, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=300 => result=663
iterations=20, T_max=1000, T_min=0.1, alpha=0.999, neighbours checked=300 => result=667
iterations=20, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=340 => result=636
iterations=20, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=340 => result=598
iterations=20, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=340 => result=592
iterations=20, T_max=1000, T_min=0.01, alpha=0.999, neighbours checked=340 => result=619
iterations=20, T_max=1000, T_min=0.001, alpha=0.9, neighbours checked=380 => result=593
iterations=20, T_max=1000, T_min=0.001, alpha=0.95, neighbours checked=380 => result=666
iterations=20, T_max=1000, T_min=0.001, alpha=0.99, neighbours checked=380 => result=682
iterations=20, T_max=1000, T_min=0.001, alpha=0.999, neighbours checked=380 => result=683
iterations=20, T_max=10000, T_min=0.1, alpha=0.9, neighbours checked=340 => result=618
iterations=20, T_max=10000, T_min=0.1, alpha=0.95, neighbours checked=340 => result=607
iterations=20, T_max=10000, T_min=0.1, alpha=0.99, neighbours checked=340 => result=596
iterations=20, T_max=10000, T_min=0.1, alpha=0.999, neighbours checked=340 => result=687
iterations=20, T_max=10000, T_min=0.01, alpha=0.9, neighbours checked=380 => result=638
iterations=20, T_max=10000, T_min=0.01, alpha=0.95, neighbours checked=380 => result=695
iterations=20, T_max=10000, T_min=0.01, alpha=0.99, neighbours checked=380 => result=652
iterations=20, T_max=10000, T_min=0.01, alpha=0.999, neighbours checked=380 => result=665
iterations=20, T_max=10000, T_min=0.001, alpha=0.9, neighbours checked=420 => result=645
iterations=20, T_max=10000, T_min=0.001, alpha=0.95, neighbours checked=420 => result=596
iterations=20, T_max=10000, T_min=0.001, alpha=0.99, neighbours checked=420 => result=629
iterations=20, T_max=10000, T_min=0.001, alpha=0.999, neighbours checked=420 => result=638
iterations=20, T_max=100000, T_min=0.1, alpha=0.9, neighbours checked=380 => result=645
iterations=20, T_max=100000, T_min=0.1, alpha=0.95, neighbours checked=380 => result=650
iterations=20, T_max=100000, T_min=0.1, alpha=0.99, neighbours checked=380 => result=666
iterations=20, T_max=100000, T_min=0.1, alpha=0.999, neighbours checked=380 => result=566
iterations=20, T_max=100000, T_min=0.01, alpha=0.9, neighbours checked=420 => result=653
iterations=20, T_max=100000, T_min=0.01, alpha=0.95, neighbours checked=420 => result=678
iterations=20, T_max=100000, T_min=0.01, alpha=0.99, neighbours checked=420 => result=612
iterations=20, T_max=100000, T_min=0.01, alpha=0.999, neighbours checked=420 => result=616
iterations=20, T_max=100000, T_min=0.001, alpha=0.9, neighbours checked=460 => result=610
iterations=20, T_max=100000, T_min=0.001, alpha=0.95, neighbours checked=460 => result=589
iterations=20, T_max=100000, T_min=0.001, alpha=0.99, neighbours checked=460 => result=614
iterations=20, T_max=100000, T_min=0.001, alpha=0.999, neighbours checked=460 => result=599
iterations=40, T_max=100, T_min=0.1, alpha=0.9, neighbours checked=520 => result=649
iterations=40, T_max=100, T_min=0.1, alpha=0.95, neighbours checked=520 => result=658
iterations=40, T_max=100, T_min=0.1, alpha=0.99, neighbours checked=520 => result=640
iterations=40, T_max=100, T_min=0.1, alpha=0.999, neighbours checked=520 => result=716
iterations=40, T_max=100, T_min=0.01, alpha=0.9, neighbours checked=600 => result=687
iterations=40, T_max=100, T_min=0.01, alpha=0.95, neighbours checked=600 => result=666
iterations=40, T_max=100, T_min=0.01, alpha=0.99, neighbours checked=600 => result=640
iterations=40, T_max=100, T_min=0.01, alpha=0.999, neighbours checked=600 => result=638
iterations=40, T_max=100, T_min=0.001, alpha=0.9, neighbours checked=680 => result=690
iterations=40, T_max=100, T_min=0.001, alpha=0.95, neighbours checked=680 => result=688
iterations=40, T_max=100, T_min=0.001, alpha=0.99, neighbours checked=680 => result=653
iterations=40, T_max=100, T_min=0.001, alpha=0.999, neighbours checked=680 => result=610
iterations=40, T_max=1000, T_min=0.1, alpha=0.9, neighbours checked=600 => result=629
iterations=40, T_max=1000, T_min=0.1, alpha=0.95, neighbours checked=600 => result=662
iterations=40, T_max=1000, T_min=0.1, alpha=0.99, neighbours checked=600 => result=701
iterations=40, T_max=1000, T_min=0.1, alpha=0.999, neighbours checked=600 => result=679
iterations=40, T_max=1000, T_min=0.01, alpha=0.9, neighbours checked=680 => result=689
iterations=40, T_max=1000, T_min=0.01, alpha=0.95, neighbours checked=680 => result=644
iterations=40, T_max=1000, T_min=0.01, alpha=0.99, neighbours checked=680 => result=683
iterations=40, T_max=1000, T_min=0.01, alpha=0.999, neighbours checked=680 => result=658
